2022-03-19 01:03:37,111; ERROR; Error in SS7520FaceT.find_events_by_time. Error message: HTTPConnectionPool(host='10.19.80.159', port=80): Max retries exceeded with url: /cgi-bin/recordFinder.cgi?action=find&name=AccessControlCardRec&StartTime=1647661824&EndTime=1647661835 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082BCA0BCC0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.159.
2022-03-19 01:03:37,113; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:37,393; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:37,394; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:37,635; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:37,636; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:37,900; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:37,901; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:38,153; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:38,154; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:38,415; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:38,416; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:38,653; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:38,658; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:39,302; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:39,524; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-19 00:00:00, to: 2022-03-19 01:00:00
2022-03-19 01:03:39,531; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-03-19 00-00-00 - 2022-03-19 01-00-00.xlsx.
2022-03-19 01:03:39,640; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-03-19 00-00-00 - 2022-03-19 01-00-00.xlsx.
2022-03-19 01:06:00,723; INFO; 10.19.1.101: Input status: 0001
2022-03-19 01:06:00,724; INFO; Requesting access: Equipment: 133, identifier:  , request: 4. Try 1/2.
2022-03-19 01:06:00,736; INFO; Request number 18195041. Response: BOTÃO.
2022-03-19 01:06:00,750; INFO; Registered access.
2022-03-19 01:06:00,751; INFO; Getting person and access info for access_request_number: 18195041
2022-03-19 01:06:00,895; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 18195041. Access was probably via button.
2022-03-19 01:06:01,349; INFO; 10.19.1.101: Input status: 0000
2022-03-19 01:06:04,570; INFO; 10.19.1.101: Input status: 0010
2022-03-19 01:06:04,571; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-03-19 01:06:04,578; INFO; Request number 18195054. Response: BOTÃO.
2022-03-19 01:06:04,590; INFO; Registered access.
2022-03-19 01:06:04,591; INFO; Getting person and access info for access_request_number: 18195054
2022-03-19 01:06:04,728; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 18195054. Access was probably via button.
2022-03-19 01:06:05,397; INFO; 10.19.1.101: Input status: 0000
