2022-03-25 00:05:31,477; INFO; 10.19.1.101: Input status: 0010
2022-03-25 00:05:31,480; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-03-25 00:05:31,487; INFO; Request number 19343895. Response: BOTÃO.
2022-03-25 00:05:31,498; INFO; Registered access.
2022-03-25 00:05:31,499; INFO; Getting person and access info for access_request_number: 19343895
2022-03-25 00:05:31,739; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 19343895. Access was probably via button.
2022-03-25 00:05:31,844; INFO; 10.19.1.101: Input status: 0000
2022-03-25 00:09:15,347; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-24 23-00-00 - 2022-03-25 00-00-00.xlsx does not exist. Starting report build.
2022-03-25 00:09:38,994; ERROR; Error in SS7520FaceT.time_set_time_zone. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&NTP.Address=a.ntp.br&NTP.Enable=false&NTP.TimeZone=22&NTP.TimeZoneDesc=Bras%C3%ADlia&NTP.UpdatePeriod=10 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000082C0D15128>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-25 00:09:48,998; ERROR; Error in SS7520FaceT.time_set. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/global.cgi?action=setCurrentTime&time=2022-03-25%2000:09:38 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000082C0D15DD8>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-25 00:10:10,000; ERROR; Error in SS7520FaceT.config_temperature_only. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.OnlyTemperatureMode=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082BA397908>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-25 00:10:31,021; ERROR; Error in SS7520FaceT.config_mask_mode. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.MaskOpt=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082CF862C18>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-25 00:10:52,029; ERROR; Error in SS7520FaceT.set_unlock_hold_interval. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&AccessControl%5B0%5D.UnlockHoldInterval=10000 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082C0D15748>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-25 00:10:52,030; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:52,202; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:52,203; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:53,395; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:53,590; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:53,590; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:53,765; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:53,766; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:53,963; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:53,964; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:54,155; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:54,156; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:54,345; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:54,346; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:54,539; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:54,540; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:54,810; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:54,812; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:55,102; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-24 23:00:00, to: 2022-03-25 00:00:00
2022-03-25 00:10:55,106; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-03-24 23-00-00 - 2022-03-25 00-00-00.xlsx.
2022-03-25 00:10:55,231; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-03-24 23-00-00 - 2022-03-25 00-00-00.xlsx.
2022-03-25 00:20:55,240; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-24 23-00-00 - 2022-03-25 00-00-00.xlsx already exists.
2022-03-25 00:30:55,250; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-24 23-00-00 - 2022-03-25 00-00-00.xlsx already exists.
2022-03-25 00:40:55,261; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-24 23-00-00 - 2022-03-25 00-00-00.xlsx already exists.
2022-03-25 00:50:55,271; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-24 23-00-00 - 2022-03-25 00-00-00.xlsx already exists.
2022-03-25 01:00:55,281; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-25 00-00-00 - 2022-03-25 01-00-00.xlsx does not exist. Starting report build.
