2022-03-11 00:45:24,547; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 2/2.
2022-03-11 00:45:26,560; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 1/2.
2022-03-11 00:45:28,578; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 2/2.
2022-03-11 00:45:48,981; ERROR; Error in SocketController.communicate. Error message: [WinError 10054] An existing connection was forcibly closed by the remote host
2022-03-11 00:47:03,811; INFO; Client connected, address: 10.19.217.103:5005
2022-03-11 00:47:03,812; INFO; Updated module list: IP: 10.19.0.110, IP: 10.19.1.101, IP: 10.19.1.103, IP: 10.19.1.105, IP: 10.19.18.103, IP: 10.19.202.103, IP: 10.19.205.103, IP: 10.19.208.103, IP: 10.19.211.103, IP: 10.19.212.103, IP: 10.19.217.103, IP: 10.19.221.104, IP: 10.19.226.101, IP: 10.19.226.108, IP: 10.19.226.110, 
2022-03-11 00:47:03,825; INFO; IO parameters identified for IP: 10.19.217.103, nu_IO: 1
2022-03-11 00:47:03,836; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 1/2.
2022-03-11 00:47:05,862; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 2/2.
2022-03-11 00:47:07,890; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 1/2.
2022-03-11 00:47:09,902; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 2/2.
2022-03-11 00:47:11,914; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 1/2.
2022-03-11 00:47:13,925; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 2/2.
2022-03-11 00:47:22,522; ERROR; Error in SocketController.communicate. Error message: [WinError 10054] An existing connection was forcibly closed by the remote host
2022-03-11 00:47:34,941; INFO; Client connected, address: 10.19.217.103:5005
2022-03-11 00:47:34,942; INFO; Updated module list: IP: 10.19.0.110, IP: 10.19.1.101, IP: 10.19.1.103, IP: 10.19.1.105, IP: 10.19.18.103, IP: 10.19.202.103, IP: 10.19.205.103, IP: 10.19.208.103, IP: 10.19.211.103, IP: 10.19.212.103, IP: 10.19.217.103, IP: 10.19.221.104, IP: 10.19.226.101, IP: 10.19.226.108, IP: 10.19.226.110, 
2022-03-11 00:47:34,955; INFO; IO parameters identified for IP: 10.19.217.103, nu_IO: 1
2022-03-11 00:47:34,964; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 1/2.
