2022-03-16 00:08:08,840; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-15 23:00:00, to: 2022-03-16 00:00:00
2022-03-16 00:08:08,844; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-03-15 23-00-00 - 2022-03-16 00-00-00.xlsx.
2022-03-16 00:08:08,948; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-03-15 23-00-00 - 2022-03-16 00-00-00.xlsx.
2022-03-16 00:18:08,957; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-15 23-00-00 - 2022-03-16 00-00-00.xlsx already exists.
2022-03-16 00:20:06,071; INFO; Requesting access: Equipment: 138, identifier: 52227DD9, request: 1. Try 1/2.
2022-03-16 00:20:06,239; INFO; Request number 17616481. Response: ENTRADA / SAÍDA.
2022-03-16 00:20:06,243; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.221.104, IO #: 1, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-03-16 00:20:06,309; INFO; Registered access.
2022-03-16 00:20:06,310; INFO; Getting person and access info for access_request_number: 17616481
2022-03-16 00:20:06,519; INFO; Getting photo for person_number: 25603
2022-03-16 00:20:06,528; INFO; Sending data to dashboard.
2022-03-16 00:20:08,538; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 17616481.
2022-03-16 00:20:50,605; INFO; Requesting access: Equipment: 152, identifier: 52227DD9, request: 1. Try 1/2.
2022-03-16 00:20:50,679; INFO; Request number 17616558. Response: ENTRADA / SAÍDA.
2022-03-16 00:20:50,682; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.212.103, IO #: 2, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-03-16 00:20:50,718; INFO; Registered access.
2022-03-16 00:20:50,720; INFO; Getting person and access info for access_request_number: 17616558
2022-03-16 00:20:50,871; INFO; Getting photo for person_number: 25603
2022-03-16 00:20:50,879; INFO; Sending data to dashboard.
2022-03-16 00:20:52,879; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 17616558.
2022-03-16 00:23:11,685; INFO; Requesting access: Equipment: 152, identifier: 52227DD9, request: 2. Try 1/2.
2022-03-16 00:23:11,792; INFO; Request number 17616871. Response: ENTRADA / SAÍDA.
2022-03-16 00:23:11,796; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.212.103, IO #: 2, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-03-16 00:23:11,867; INFO; Registered access.
2022-03-16 00:23:11,869; INFO; Getting person and access info for access_request_number: 17616871
2022-03-16 00:23:12,047; INFO; Getting photo for person_number: 25603
2022-03-16 00:23:12,070; INFO; Sending data to dashboard.
2022-03-16 00:23:14,156; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 17616871.
2022-03-16 00:23:46,095; INFO; Requesting access: Equipment: 143, identifier: 52227DD9, request: 1. Try 1/2.
2022-03-16 00:23:46,235; INFO; Request number 17616942. Response: ENTRADA / SAÍDA.
2022-03-16 00:23:46,238; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.211.103, IO #: 2, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-03-16 00:23:46,291; INFO; Registered access.
2022-03-16 00:23:46,292; INFO; Getting person and access info for access_request_number: 17616942
2022-03-16 00:23:46,345; INFO; Requesting access: Equipment: 143, identifier: 52227DD9, request: 1. Try 1/2.
2022-03-16 00:23:46,518; INFO; Getting photo for person_number: 25603
2022-03-16 00:23:46,526; INFO; Sending data to dashboard.
2022-03-16 00:23:46,531; INFO; Request number 17616943. Response: ENTRADA / SAÍDA.
2022-03-16 00:23:46,534; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.211.103, IO #: 2, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-03-16 00:23:46,578; INFO; Registered access.
2022-03-16 00:23:46,588; INFO; Getting person and access info for access_request_number: 17616943
2022-03-16 00:23:46,785; INFO; Getting photo for person_number: 25603
2022-03-16 00:23:46,795; INFO; Sending data to dashboard.
2022-03-16 00:23:48,595; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 17616942.
2022-03-16 00:23:48,800; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 17616943.
2022-03-16 00:25:54,119; INFO; Requesting access: Equipment: 143, identifier: 52227DD9, request: 2. Try 1/2.
2022-03-16 00:25:54,232; INFO; Request number 17617180. Response: ENTRADA / SAÍDA.
2022-03-16 00:25:54,243; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.211.103, IO #: 2, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-03-16 00:25:54,336; INFO; Registered access.
2022-03-16 00:25:54,337; INFO; Getting person and access info for access_request_number: 17617180
2022-03-16 00:25:54,536; INFO; Getting photo for person_number: 25603
2022-03-16 00:25:54,544; INFO; Sending data to dashboard.
2022-03-16 00:25:56,550; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 17617180.
2022-03-16 00:26:36,852; INFO; Requesting access: Equipment: 138, identifier: 52227DD9, request: 2. Try 1/2.
2022-03-16 00:26:36,960; INFO; Request number 17617275. Response: ENTRADA / SAÍDA.
2022-03-16 00:26:36,963; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.221.104, IO #: 1, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-03-16 00:26:37,042; INFO; Registered access.
2022-03-16 00:26:37,043; INFO; Getting person and access info for access_request_number: 17617275
2022-03-16 00:26:37,263; INFO; Getting photo for person_number: 25603
2022-03-16 00:26:37,280; INFO; Sending data to dashboard.
2022-03-16 00:26:39,283; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 17617275.
2022-03-16 00:28:08,967; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-15 23-00-00 - 2022-03-16 00-00-00.xlsx already exists.
2022-03-16 00:38:08,977; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-15 23-00-00 - 2022-03-16 00-00-00.xlsx already exists.
2022-03-16 00:48:08,987; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-15 23-00-00 - 2022-03-16 00-00-00.xlsx already exists.
2022-03-16 00:58:08,996; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-15 23-00-00 - 2022-03-16 00-00-00.xlsx already exists.
2022-03-16 01:08:09,015; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-16 00-00-00 - 2022-03-16 01-00-00.xlsx does not exist. Starting report build.
2022-03-16 01:08:33,658; ERROR; Error in SS7520FaceT.time_set_time_zone. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&NTP.Address=a.ntp.br&NTP.Enable=false&NTP.TimeZone=22&NTP.TimeZoneDesc=Bras%C3%ADlia&NTP.UpdatePeriod=10 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000082BC98A208>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-16 01:08:43,663; ERROR; Error in SS7520FaceT.time_set. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/global.cgi?action=setCurrentTime&time=2022-03-16%2001:08:33 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000082BC98A748>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-16 01:09:04,676; ERROR; Error in SS7520FaceT.config_temperature_only. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.OnlyTemperatureMode=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082BCA45BE0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-16 01:09:25,682; ERROR; Error in SS7520FaceT.config_mask_mode. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.MaskOpt=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082BA3A0BA8>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-16 01:09:46,685; ERROR; Error in SS7520FaceT.set_unlock_hold_interval. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&AccessControl%5B0%5D.UnlockHoldInterval=10000 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082BA3AB518>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-16 01:09:46,686; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:46,946; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:46,949; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:47,161; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:47,162; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:47,402; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:47,403; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:47,655; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:47,656; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:47,919; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:47,920; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:48,126; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:48,127; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:48,386; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:48,388; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
2022-03-16 01:09:48,641; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-03-16 00:00:00, to: 2022-03-16 01:00:00
