2022-03-05 00:05:39,229; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-03-04 23:00:00, to: 2022-03-05 00:00:00
2022-03-05 00:05:39,230; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-03-04 23:00:00, to: 2022-03-05 00:00:00
2022-03-05 00:05:39,471; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-04 23:00:00, to: 2022-03-05 00:00:00
2022-03-05 00:05:39,473; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-03-04 23-00-00 - 2022-03-05 00-00-00.xlsx.
2022-03-05 00:05:39,581; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-03-04 23-00-00 - 2022-03-05 00-00-00.xlsx.
2022-03-05 00:12:45,259; INFO; Requesting access: Equipment: 133, identifier: 3C970460, request: 1. Try 1/2.
2022-03-05 00:12:45,347; INFO; Request number 16890080. Response: ENTRADA / SAÍDA.
2022-03-05 00:12:45,387; INFO; Registered access.
2022-03-05 00:12:45,388; INFO; Getting person and access info for access_request_number: 16890080
2022-03-05 00:12:45,668; INFO; Getting photo for person_number: 25568
2022-03-05 00:12:45,674; INFO; Sending data to dashboard.
2022-03-05 00:12:47,831; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16890080.
2022-03-05 00:14:08,586; INFO; 10.19.1.101: Input status: 0010
2022-03-05 00:14:08,593; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-03-05 00:14:08,610; INFO; Request number 16890081. Response: BOTÃO.
2022-03-05 00:14:08,647; INFO; Registered access.
2022-03-05 00:14:08,650; INFO; Getting person and access info for access_request_number: 16890081
2022-03-05 00:14:08,862; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 16890081. Access was probably via button.
2022-03-05 00:14:09,077; INFO; 10.19.1.101: Input status: 0000
2022-03-05 00:15:39,591; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-04 23-00-00 - 2022-03-05 00-00-00.xlsx already exists.
2022-03-05 00:25:39,609; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-04 23-00-00 - 2022-03-05 00-00-00.xlsx already exists.
2022-03-05 00:28:50,230; INFO; Requesting access: Equipment: 138, identifier: DBF74654, request: 1. Try 1/2.
2022-03-05 00:28:50,382; INFO; Request number 16890082. Response: ENTRADA / SAÍDA.
2022-03-05 00:28:50,386; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.221.104, IO #: 1, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-03-05 00:28:50,487; INFO; Registered access.
2022-03-05 00:28:50,488; INFO; Getting person and access info for access_request_number: 16890082
2022-03-05 00:28:50,675; INFO; Getting photo for person_number: 25610
2022-03-05 00:28:50,682; INFO; Sending data to dashboard.
2022-03-05 00:28:52,788; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16890082.
2022-03-05 00:35:39,619; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-04 23-00-00 - 2022-03-05 00-00-00.xlsx already exists.
2022-03-05 00:45:39,628; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-04 23-00-00 - 2022-03-05 00-00-00.xlsx already exists.
2022-03-05 00:55:39,639; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-04 23-00-00 - 2022-03-05 00-00-00.xlsx already exists.
2022-03-05 01:05:39,649; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 00-00-00 - 2022-03-05 01-00-00.xlsx does not exist. Starting report build.
2022-03-05 01:06:03,783; ERROR; Error in SS7520FaceT.time_set_time_zone. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&NTP.Address=a.ntp.br&NTP.Enable=false&NTP.TimeZone=22&NTP.TimeZoneDesc=Bras%C3%ADlia&NTP.UpdatePeriod=10 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000688BD30470>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-05 01:06:13,787; ERROR; Error in SS7520FaceT.time_set. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/global.cgi?action=setCurrentTime&time=2022-03-05%2001:06:03 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000688BD99160>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-05 01:06:34,784; ERROR; Error in SS7520FaceT.config_temperature_only. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.OnlyTemperatureMode=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000688BDF0320>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-05 01:06:55,787; ERROR; Error in SS7520FaceT.config_mask_mode. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.MaskOpt=2 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000688BD82160>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-05 01:07:16,794; ERROR; Error in SS7520FaceT.set_unlock_hold_interval. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&AccessControl%5B0%5D.UnlockHoldInterval=10000 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000688BD99828>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-05 01:07:16,795; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:17,513; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:17,514; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:17,856; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:17,857; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:18,068; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:18,069; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:18,297; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:18,298; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:18,607; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:18,608; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:18,975; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:18,976; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:19,308; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:19,309; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:19,597; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:19,599; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:20,168; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:20,170; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:20,362; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-05 00:00:00, to: 2022-03-05 01:00:00
2022-03-05 01:07:20,364; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-03-05 00-00-00 - 2022-03-05 01-00-00.xlsx.
2022-03-05 01:07:20,411; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-03-05 00-00-00 - 2022-03-05 01-00-00.xlsx.
2022-03-05 01:17:20,421; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 00-00-00 - 2022-03-05 01-00-00.xlsx already exists.
2022-03-05 01:20:17,757; INFO; 10.19.1.101: Input status: 0001
2022-03-05 01:20:17,759; INFO; Requesting access: Equipment: 133, identifier:  , request: 4. Try 1/2.
2022-03-05 01:20:17,766; INFO; Request number 16890083. Response: BOTÃO.
2022-03-05 01:20:17,780; INFO; Registered access.
2022-03-05 01:20:17,781; INFO; Getting person and access info for access_request_number: 16890083
2022-03-05 01:20:17,949; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 16890083. Access was probably via button.
2022-03-05 01:20:18,632; INFO; 10.19.1.101: Input status: 0000
2022-03-05 01:20:22,520; INFO; 10.19.1.101: Input status: 0010
2022-03-05 01:20:22,552; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-03-05 01:20:22,560; INFO; Request number 16890084. Response: BOTÃO.
2022-03-05 01:20:22,581; INFO; Registered access.
2022-03-05 01:20:22,583; INFO; Getting person and access info for access_request_number: 16890084
2022-03-05 01:20:22,838; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 16890084. Access was probably via button.
2022-03-05 01:20:23,326; INFO; 10.19.1.101: Input status: 0000
2022-03-05 01:27:20,433; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 00-00-00 - 2022-03-05 01-00-00.xlsx already exists.
2022-03-05 01:37:20,442; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 00-00-00 - 2022-03-05 01-00-00.xlsx already exists.
2022-03-05 01:47:20,453; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 00-00-00 - 2022-03-05 01-00-00.xlsx already exists.
2022-03-05 01:57:20,727; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 00-00-00 - 2022-03-05 01-00-00.xlsx already exists.
2022-03-05 02:07:20,851; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-05 01-00-00 - 2022-03-05 02-00-00.xlsx does not exist. Starting report build.
2022-03-05 02:07:46,073; ERROR; Error in SS7520FaceT.time_set_time_zone. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&NTP.Address=a.ntp.br&NTP.Enable=false&NTP.TimeZone=22&NTP.TimeZoneDesc=Bras%C3%ADlia&NTP.UpdatePeriod=10 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000688BD305F8>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-05 02:07:56,078; ERROR; Error in SS7520FaceT.time_set. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/global.cgi?action=setCurrentTime&time=2022-03-05%2002:07:46 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000006893988AC8>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-05 02:08:17,174; ERROR; Error in SS7520FaceT.config_temperature_only. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.OnlyTemperatureMode=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000006893988908>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-05 02:08:38,291; ERROR; Error in SS7520FaceT.config_mask_mode. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.MaskOpt=2 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000688BDF0668>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-05 02:08:59,383; ERROR; Error in SS7520FaceT.set_unlock_hold_interval. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&AccessControl%5B0%5D.UnlockHoldInterval=10000 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000006895005EF0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-05 02:08:59,383; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
2022-03-05 02:08:59,576; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-03-05 01:00:00, to: 2022-03-05 02:00:00
