2022-02-25 00:08:41,835; INFO; Requesting access: Equipment: 138, identifier: A6F4B860, request: 2. Try 1/2.
2022-02-25 00:08:42,030; INFO; Request number 16858687. Response: ENTRADA / SAÍDA.
2022-02-25 00:08:42,042; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.221.104, IO #: 1, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-02-25 00:08:42,103; INFO; Registered access.
2022-02-25 00:08:42,104; INFO; Getting person and access info for access_request_number: 16858687
2022-02-25 00:08:42,384; INFO; Getting photo for person_number: 40702
2022-02-25 00:08:42,398; INFO; Sending data to dashboard.
2022-02-25 00:08:44,420; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16858687.
2022-02-25 00:09:09,082; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-24 23-00-00 - 2022-02-25 00-00-00.xlsx does not exist. Starting report build.
2022-02-25 00:09:24,004; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:24,689; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:25,359; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:25,900; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:26,094; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:26,096; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:26,406; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:26,415; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:26,728; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:26,730; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:27,063; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:27,065; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:27,388; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:27,389; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:28,112; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:28,410; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-02-24 23:00:00, to: 2022-02-25 00:00:00
2022-02-25 00:09:28,424; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-02-24 23-00-00 - 2022-02-25 00-00-00.xlsx.
2022-02-25 00:09:28,588; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-02-24 23-00-00 - 2022-02-25 00-00-00.xlsx.
2022-02-25 00:11:31,154; INFO; 10.19.1.101: Input status: 0010
2022-02-25 00:11:31,156; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-02-25 00:11:31,165; INFO; Request number 16858688. Response: BOTÃO.
2022-02-25 00:11:31,182; INFO; Registered access.
2022-02-25 00:11:31,183; INFO; Getting person and access info for access_request_number: 16858688
2022-02-25 00:11:31,345; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 16858688. Access was probably via button.
2022-02-25 00:11:31,630; INFO; 10.19.1.101: Input status: 0000
2022-02-25 00:19:28,598; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-24 23-00-00 - 2022-02-25 00-00-00.xlsx already exists.
2022-02-25 00:29:28,634; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-24 23-00-00 - 2022-02-25 00-00-00.xlsx already exists.
2022-02-25 00:39:28,648; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-24 23-00-00 - 2022-02-25 00-00-00.xlsx already exists.
2022-02-25 00:49:28,657; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-24 23-00-00 - 2022-02-25 00-00-00.xlsx already exists.
2022-02-25 00:59:28,667; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-24 23-00-00 - 2022-02-25 00-00-00.xlsx already exists.
2022-02-25 01:09:28,677; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-25 00-00-00 - 2022-02-25 01-00-00.xlsx does not exist. Starting report build.
2022-02-25 01:09:45,796; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-02-25 00:00:00, to: 2022-02-25 01:00:00
2022-02-25 01:09:46,525; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-02-25 00:00:00, to: 2022-02-25 01:00:00
2022-02-25 01:09:46,527; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-02-25 00:00:00, to: 2022-02-25 01:00:00
2022-02-25 01:09:46,831; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-02-25 00:00:00, to: 2022-02-25 01:00:00
2022-02-25 01:09:46,832; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-02-25 00:00:00, to: 2022-02-25 01:00:00
2022-02-25 01:09:47,184; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-02-25 00:00:00, to: 2022-02-25 01:00:00
2022-02-25 01:09:47,185; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-02-25 00:00:00, to: 2022-02-25 01:00:00
