2022-02-22 00:16:32,549; INFO; Getting photo for person_number: 25564
2022-02-22 00:16:32,559; INFO; Sending data to dashboard.
2022-02-22 00:16:33,932; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16832755.
2022-02-22 00:16:34,117; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16832756.
2022-02-22 00:16:34,558; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16832757.
2022-02-22 00:17:08,467; INFO; Requesting access: Equipment: 161, identifier: A4B1B899, request: 1. Try 1/2.
2022-02-22 00:17:08,584; INFO; Request number 16832758. Response: ENTRADA / SAÍDA.
2022-02-22 00:17:08,588; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.226.101, IO #: 1, sleep_time: . Error message: could not convert string to float: 
2022-02-22 00:17:08,638; INFO; Registered access.
2022-02-22 00:17:08,639; INFO; Getting person and access info for access_request_number: 16832758
2022-02-22 00:17:08,834; INFO; Getting photo for person_number: 25564
2022-02-22 00:17:08,841; INFO; Sending data to dashboard.
2022-02-22 00:17:10,940; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16832758.
2022-02-22 00:25:38,080; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-21 23-00-00 - 2022-02-22 00-00-00.xlsx already exists.
2022-02-22 00:35:38,098; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-21 23-00-00 - 2022-02-22 00-00-00.xlsx already exists.
2022-02-22 00:45:38,108; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-21 23-00-00 - 2022-02-22 00-00-00.xlsx already exists.
2022-02-22 00:55:38,117; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-21 23-00-00 - 2022-02-22 00-00-00.xlsx already exists.
2022-02-22 01:05:38,126; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 00-00-00 - 2022-02-22 01-00-00.xlsx does not exist. Starting report build.
2022-02-22 01:05:54,195; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-02-22 00:00:00, to: 2022-02-22 01:00:00
