2022-02-20 00:07:11,023; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.202.103, IO #: 2, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-02-20 00:07:11,097; INFO; Registered access.
2022-02-20 00:07:11,098; INFO; Getting person and access info for access_request_number: 16823769
2022-02-20 00:07:11,299; INFO; Getting photo for person_number: 48150
2022-02-20 00:07:11,308; INFO; Sending data to dashboard.
2022-02-20 00:07:13,319; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16823769.
2022-02-20 00:16:35,930; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-19 23-00-00 - 2022-02-20 00-00-00.xlsx already exists.
2022-02-20 00:26:35,940; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-19 23-00-00 - 2022-02-20 00-00-00.xlsx already exists.
2022-02-20 00:36:35,949; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-19 23-00-00 - 2022-02-20 00-00-00.xlsx already exists.
2022-02-20 00:38:08,351; INFO; Requesting access: Equipment: 132, identifier: 2916D506, request: 1. Try 1/2.
2022-02-20 00:38:08,431; INFO; Request number 16823774. Response: ENTRADA / SAÍDA.
2022-02-20 00:38:08,472; INFO; Registered access.
2022-02-20 00:38:08,474; INFO; Getting person and access info for access_request_number: 16823774
2022-02-20 00:38:08,607; INFO; Getting photo for person_number: 25422
2022-02-20 00:38:08,616; INFO; Sending data to dashboard.
2022-02-20 00:38:10,622; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16823774.
2022-02-20 00:38:16,975; INFO; Requesting access: Equipment: 133, identifier: 2916D506, request: 1. Try 1/2.
2022-02-20 00:38:17,086; INFO; Request number 16823775. Response: ENTRADA / SAÍDA.
2022-02-20 00:38:17,178; INFO; Registered access.
2022-02-20 00:38:17,179; INFO; Getting person and access info for access_request_number: 16823775
2022-02-20 00:38:17,332; INFO; Getting photo for person_number: 25422
2022-02-20 00:38:17,345; INFO; Sending data to dashboard.
2022-02-20 00:38:19,346; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16823775.
2022-02-20 00:46:35,958; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-19 23-00-00 - 2022-02-20 00-00-00.xlsx already exists.
